scenario,ev_background_load_mbps,traffic_class,pdr,deadline_violation_rate,deadline_penalized_mean_ms,mean_delay_ms,delay_p95_ms,throughput_mbps
slicing,26.5,ALERT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","2.948 [2.922, 2.985]","2.948 [2.922, 2.984]","4.250 [4.220, 4.280]","0.031 [0.030, 0.031]"
slicing,26.5,DIAG_TOTAL,"0.843 [0.753, 0.925]","0.239 [0.139, 0.343]","173.6 [107.1, 245.3]","397.6 [192.5, 681.3]","738.6 [369.9, 1261]","0.079 [0.070, 0.086]"
slicing,26.5,EV_BACKGROUND_TOTAL,"0.953 [0.910, 0.984]","0.000 [0.000, 0.000]","352.8 [205.0, 510.6]","531.6 [259.9, 900.2]","741.2 [377.2, 1250]","25.66 [24.47, 26.55]"
slicing,26.5,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.052 [2.964, 3.185]","3.052 [2.964, 3.185]","4.310 [4.250, 4.430]","0.867 [0.866, 0.868]"
slicing,26.5,TOTAL,"0.975 [0.961, 0.988]","0.038 [0.022, 0.055]","29.95 [19.69, 41.26]","23.93 [15.75, 33.29]","46.71 [29.87, 65.91]","0.977 [0.968, 0.984]"
slicing,27.0,ALERT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","2.939 [2.914, 2.977]","2.939 [2.913, 2.976]","4.250 [4.220, 4.280]","0.031 [0.030, 0.031]"
slicing,27.0,DIAG_TOTAL,"0.804 [0.711, 0.889]","0.553 [0.502, 0.608]","312.0 [277.0, 349.0]","554.4 [367.9, 825.6]","1108 [786.4, 1578]","0.076 [0.067, 0.083]"
slicing,27.0,EV_BACKGROUND_TOTAL,"0.949 [0.906, 0.982]","0.000 [0.000, 0.000]","534.4 [406.0, 671.9]","720.4 [462.2, 1076]","1116 [792.3, 1610]","25.91 [24.70, 26.83]"
slicing,27.0,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.053 [2.966, 3.186]","3.053 [2.966, 3.187]","4.310 [4.250, 4.430]","0.867 [0.866, 0.868]"
slicing,27.0,TOTAL,"0.969 [0.955, 0.982]","0.087 [0.079, 0.096]","51.79 [46.40, 57.70]","44.20 [41.30, 47.42]","95.87 [89.35, 103.4]","0.974 [0.965, 0.981]"
