scenario,ev_background_load_mbps,traffic_class,n_seeds,qfi,five_qi,rule_precedence,latency_deadline_ms,pdr_target,pdr_mean,pdr_ci_low,pdr_ci_high,pdr_sd,deadline_violation_rate_mean,deadline_violation_rate_ci_low,deadline_violation_rate_ci_high,deadline_violation_rate_sd,deadline_penalized_mean_ms_mean,deadline_penalized_mean_ms_ci_low,deadline_penalized_mean_ms_ci_high,deadline_penalized_mean_ms_sd,mean_delay_ms_mean,mean_delay_ms_ci_low,mean_delay_ms_ci_high,mean_delay_ms_sd,delay_p95_ms_mean,delay_p95_ms_ci_low,delay_p95_ms_ci_high,delay_p95_ms_sd,throughput_mbps_mean,throughput_mbps_ci_low,throughput_mbps_ci_high,throughput_mbps_sd
baseline,24.0,DIAG_TOTAL,50,1,DEFAULT_QOS_FLOW,90,300,0.95,0.9161333460000001,0.850533352,0.9728,0.22211193551483224,0.135,0.053433339999999996,0.22693332,0.31484761494243335,117.57080680000001,49.345989200000005,194.83181380000002,264.0779102166,282.1888868,83.24136479999999,574.2162518,891.2600955563541,410.88,141.6,784.27,1175.1580215495467,0.0853182422,0.0791652482,0.09066819799999999,0.020881261290788565
baseline,24.0,EV_BACKGROUND_TOTAL,50,1,DEFAULT_QOS_FLOW,255,0,0,0.97267692,0.9353415599999999,0.99583212,0.1135006126497607,0.0,0.0,0.0,0.0,221.13803719999999,90.9560482,372.6929952,514.9217136649348,343.3880372,108.41993360000001,677.1772556000001,1055.4877805072701,411.0,143.71,777.01,1175.444558758211,23.7826898,22.863649599999995,24.400752,2.912190746054606
baseline,24.0,FAULT_TOTAL,50,1,DEFAULT_QOS_FLOW,10,10,0.9999,0.9663056600000001,0.9289883600000001,0.9920690799999999,0.11947057388850774,0.16,0.06,0.26,0.3703280399090206,248.53083320000002,102.33648599999998,418.2108844,575.9722895333385,394.2358332,127.46282640000001,760.0549564,1164.7455289751538,408.9,141.6,774.52,1173.6715601574613,0.8312539,0.7958686199999999,0.8569883800000001,0.11484945048303498
baseline,24.0,TOTAL,50,-1,AGGREGATE,0,0,0,0.9595828799999999,0.9196416399999999,0.9888339,0.12843213606758733,0.15605394,0.05881146,0.25549918,0.36124635006640893,231.4361102,93.222412,386.65657380000005,536.3635368612361,383.8209102,122.2194658,741.1232262000002,1144.0133855621918,408.53949159999996,141.2447862,764.4381752000002,1173.384532187758,0.9465516599999999,0.90373606,0.9781515199999999,0.136540856051102
baseline,24.5,ALERT_TOTAL,50,1,DEFAULT_QOS_FLOW,50,50,0.99,0.98782788,0.9715445199999999,0.99822026,0.05132674621168951,0.16,0.06,0.26,0.3703280399090206,335.448115,126.28903759999999,601.955798,873.9387792865555,395.056515,128.658855,755.1686868,1163.3057423615655,411.79,147.98,789.8,1175.3859975622076,0.029941472,0.029115033999999998,0.030602293999999995,0.0027354042475596445
baseline,24.5,DIAG_TOTAL,50,1,DEFAULT_QOS_FLOW,90,300,0.95,0.898666666,0.825299986,0.96056668,0.2473011014634652,0.13973333999999998,0.05373334,0.23123331999999996,0.3238570394815897,107.81548199999999,45.21509359999999,176.55030080000003,240.03942046250833,285.512062,90.77745200000003,564.5580568,896.6074890542694,417.23,149.78,787.97,1180.3890787121243,0.083853519,0.077061892,0.08963149899999999,0.022978018802926457
baseline,24.5,EV_BACKGROUND_TOTAL,50,1,DEFAULT_QOS_FLOW,255,0,0,0.9702276999999999,0.93449674,0.9942652000000001,0.11545044770407531,0.0,0.0,0.0,0.0,232.2518762,95.5779174,388.54920620000007,530.0660603381482,359.3746762,116.1849668,695.157045,1067.898812016689,417.28,149.77,774.13,1180.6586470772859,24.2173486,23.2466098,24.874346000000006,3.027593173310706
baseline,24.5,FAULT_TOTAL,50,1,DEFAULT_QOS_FLOW,10,10,0.9999,0.95993474,0.91828894,0.98929692,0.1274409807564094,0.20957076,0.10525454,0.32484441999999997,0.40063964769712945,249.0574184,99.248566,408.8747666000001,564.3668163646961,408.66001839999996,141.1131756,781.0659545999999,1173.8293117012,417.35,150.58,790.8,1180.7429648232471,0.82591724,0.7883421399999999,0.8550483999999998,0.1220994041396081
baseline,24.5,TOTAL,50,-1,AGGREGATE,0,0,0,0.95177808,0.90908854,0.9843987799999999,0.13815346483808857,0.19589878,0.09721778,0.30823913999999997,0.37923641336276864,231.4724064,93.8967842,382.1089424,525.0686922234555,398.50000639999996,138.301687,756.8579266,1153.3599225766925,417.008214,150.204122,779.9330379999999,1180.3616389893245,0.93971214,0.8951670599999999,0.97412802,0.1457046804213725
baseline,25.0,ALERT_TOTAL,50,1,DEFAULT_QOS_FLOW,50,50,0.99,0.9874331,0.97098062,0.9975476000000001,0.051452494004029514,0.19841038,0.1,0.31079134,0.38500263703199145,353.59470739999995,138.6755756,619.2756952000001,882.4668660579638,414.1809074,143.2064734,780.9140946,1171.3319110612383,433.59,164.62,796.85,1176.9166323881384,0.029897812,0.029074385999999997,0.030561678,0.0027341175713818115
baseline,25.0,DIAG_TOTAL,50,1,DEFAULT_QOS_FLOW,90,300,0.95,0.8901000139999999,0.8138000020000001,0.9568333340000001,0.261445980423665,0.16746668,0.0796,0.26453334,0.3331200702150184,117.2803168,59.1702902,182.9742346,230.13317047805478,303.5214168,106.38998619999998,586.556443,889.8110626825504,450.93,181.61,811.82,1176.5130716465083,0.0829099942,0.0757007364,0.0891183122,0.024489621080785583
baseline,25.0,EV_BACKGROUND_TOTAL,50,1,DEFAULT_QOS_FLOW,255,0,0,0.96770932,0.92990516,0.99285196,0.11764309224530935,0.0,0.0,0.0,0.0,250.1703732,110.862095,406.1182822000001,533.0718920667093,382.3781732,138.7924076,716.7243860000001,1073.542036698034,451.08,177.72,808.02,1176.7956431837802,24.637192799999998,23.656516399999997,25.334017999999997,3.1491634849332444
baseline,25.0,FAULT_TOTAL,50,1,DEFAULT_QOS_FLOW,10,10,0.9999,0.95670276,0.91579128,0.98721306,0.13137420276626546,0.21952712,0.11937368,0.33935395999999995,0.41755584972574555,264.278851,120.32124960000002,425.3338134,554.4695218434339,431.288451,159.3878838,794.8318517999999,1174.352184712448,450.82,174.82,822.12,1176.798723145092,0.8223130999999999,0.7836963400000001,0.8517879200000001,0.12531179942980922
baseline,25.0,TOTAL,50,-1,AGGREGATE,0,0,0,0.9478596,0.9048876200000001,0.98188232,0.14319943670964347,0.21018335999999999,0.11027842,0.32541112,0.40031782045166797,245.9592036,113.89090639999999,399.63452480000007,515.9715320137425,421.1108036,155.250319,781.5884381999999,1154.9285640063192,449.9241124,175.79370000000003,814.4915295999999,1176.6917315222934,0.93512098,0.8883302999999999,0.9710822799999999,0.15012390614864152
baseline,25.5,ALERT_TOTAL,50,1,DEFAULT_QOS_FLOW,50,50,0.99,0.98487476,0.9666088199999998,0.99657846,0.055390025003977245,0.22,0.12,0.34,0.4184519575964803,365.97802,151.474582,625.9995051999999,868.6245949235032,433.05661999999995,161.24521479999999,786.3017206,1173.4996166895871,457.51,180.96,822.52,1177.8050982177633,0.029790804,0.028919565999999997,0.030489188,0.0028498694464161554
baseline,25.5,DIAG_TOTAL,50,1,DEFAULT_QOS_FLOW,90,300,0.95,0.8795333399999999,0.7960666800000001,0.95319998,0.2820376492325029,0.17826664,0.08916668,0.27809998,0.3448062233695882,130.408369,68.066174,200.628245,243.91763771284948,322.209589,121.5757864,609.2688512,909.2981570690906,497.72,215.23,864.24,1196.5390584804943,0.08192530060000001,0.0743599252,0.08869188399999998,0.026226887798764795
baseline,25.5,EV_BACKGROUND_TOTAL,50,1,DEFAULT_QOS_FLOW,255,0,0,0.96528976,0.92766832,0.99146076,0.12006130955432899,0.0,0.0,0.0,0.0,272.9986178,135.44190120000002,432.07579619999996,540.7812590090894,410.2100178,160.3821698,749.3735725999999,1080.4403016385859,497.87,216.95,864.0,1196.8028308449004,25.045515599999998,23.9953752,25.77505,3.2759037755554745
baseline,25.5,FAULT_TOTAL,50,1,DEFAULT_QOS_FLOW,10,10,0.9999,0.95393586,0.91375516,0.98494806,0.1328507585398467,0.22,0.12,0.34,0.4184519575964803,287.9865248,140.92717040000002,452.8084098,562.5811776176519,458.5787248,179.4682924,825.7372429999999,1178.0420717664083,491.99,212.91,854.71,1192.7062061906588,0.8188595200000001,0.7796709600000001,0.8487533599999998,0.12699947554210206
baseline,25.5,TOTAL,50,-1,AGGREGATE,0,0,0,0.94387438,0.8986320999999999,0.9791185,0.14757902432531472,0.21341917999999999,0.11511157999999998,0.32963178,0.4060546261165367,267.3941004,127.4258544,417.14883119999996,522.1203542151336,448.29190040000003,176.93243900000002,806.6275440000001,1159.921803832757,491.0542372,213.10390799999996,853.7164784000001,1192.0870674654566,0.9305755600000001,0.8856748000000002,0.9681460799999999,0.15347789998472358
