ev_background_load_mbps,traffic_class,n_pairs,metric,baseline_mean,qos_aware_mean,paired_effect_mean,paired_effect_ci_low,paired_effect_ci_high,paired_effect_sd,effect_definition
22.0,FAULT_TOTAL,50,pdr_gain,0.9765191799999999,1.0,0.02348082,0.0,0.06055176,0.11726633492543583,QoS-aware PDR - baseline PDR
22.0,FAULT_TOTAL,50,deadline_violation_reduction,0.14000097368,0.0002331852,0.13976778848000002,0.059940398420000006,0.23942922696,0.348863694763781,baseline deadline-violation rate - QoS-aware deadline-violation rate
22.0,FAULT_TOTAL,50,deadline_penalized_delay_reduction_ms,128.5200008,3.1745929999999998,125.34540779999999,25.904186000000003,247.22979919999997,400.31572485692163,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
23.0,ALERT_TOTAL,50,pdr_gain,0.99000946,1.0,0.009990540000000001,0.0,0.027445200000000006,0.05430628935170796,QoS-aware PDR - baseline PDR
23.0,ALERT_TOTAL,50,deadline_violation_reduction,0.14,0.0,0.14,0.06,0.24,0.3505098327538656,baseline deadline-violation rate - QoS-aware deadline-violation rate
23.0,ALERT_TOTAL,50,deadline_penalized_delay_reduction_ms,246.6709978,2.9355472,243.7354506,71.58020119999999,477.07510720000005,765.4863344828331,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
23.0,DIAG_TOTAL,50,pdr_gain,0.93236666,0.920333346,-0.012033314000000002,-0.023266654,-0.00293334,0.037726259143931906,QoS-aware PDR - baseline PDR
23.0,DIAG_TOTAL,50,deadline_violation_reduction,0.11326665999999999,0.11310002000000001,0.00016664000000000013,-3.338000000000063e-05,0.0004999400000000009,0.0010240022074274723,baseline deadline-violation rate - QoS-aware deadline-violation rate
23.0,DIAG_TOTAL,50,deadline_penalized_delay_reduction_ms,101.3618646,92.4703112,8.891553399999998,0.40098120000000054,22.32640519999999,41.24603917501356,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
23.0,FAULT_TOTAL,50,pdr_gain,0.9730471,1.0,0.0269529,0.0020766400000000007,0.0662279,0.1191855005506979,QoS-aware PDR - baseline PDR
23.0,FAULT_TOTAL,50,deadline_violation_reduction,0.15747074590000001,9.994874000000001e-05,0.15737079716,0.0599930714,0.25998667724,0.3646800928110207,baseline deadline-violation rate - QoS-aware deadline-violation rate
23.0,FAULT_TOTAL,50,deadline_penalized_delay_reduction_ms,211.33366020000003,3.1142932,208.21936699999998,82.78096120000002,359.14951980000006,518.8988038923786,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
